clave_ent,nivel_ent,año,trimestre,itlp_is,TLP,ingreso_INPC,ingreso_canasta_ali,desagregacion,año_base_itlp
13,Hidalgo,2007,3,1.0333,48.3,2028.29,2388.83,Estatal,1T20
14,Jalisco,2007,3,1.0971,26.2,3165.4,3716.42,Estatal,1T20
15,Estado de México,2007,3,0.9126,31.7,2612.88,3067.61,Estatal,1T20
16,Michoacán,2007,3,1.2581,40.2,2197.04,2582.69,Estatal,1T20
17,Morelos,2007,3,0.769,35.8,2395.16,2813.11,Estatal,1T20
18,Nayarit,2007,3,1.0588,33.6,2739.72,3221.66,Estatal,1T20
19,Nuevo León,2007,3,0.7149,14.4,4386.09,5144.86,Estatal,1T20
20,Oaxaca,2007,3,0.9914,58.2,1534.12,1806.52,Estatal,1T20
21,Puebla,2007,3,1.0695,45.9,2016.08,2368.71,Estatal,1T20
22,Querétaro,2007,3,0.891,31,2861.3,3363.14,Estatal,1T20
23,Quintana Roo,2007,3,0.7332,20.4,4409.57,5174.54,Estatal,1T20
24,San Luis Potosí,2007,3,1.035,45.5,2383.17,2800.13,Estatal,1T20
25,Sinaloa,2007,3,0.9367,24.2,3417.78,4016.67,Estatal,1T20
26,Sonora,2007,3,0.8057,21.8,3538.69,4155.12,Estatal,1T20
27,Tabasco,2007,3,0.9332,38.7,2657.6,3128.16,Estatal,1T20
28,Tamaulipas,2007,3,0.7836,25.9,3562.37,4181.33,Estatal,1T20
29,Tlaxcala,2007,3,0.9566,44.6,1962.22,2306.76,Estatal,1T20
30,Veracruz,2007,3,0.9374,46.5,2122.95,2497.07,Estatal,1T20
31,Yucatán,2007,3,1.1509,39.9,2452.92,2879.9,Estatal,1T20
32,Zacatecas,2007,3,0.9043,43.3,2108.52,2481.29,Estatal,1T20
1,Aguascalientes,2007,4,1.0717,32.8,2789.66,3254.67,Estatal,1T20
2,Baja California,2007,4,0.7584,15.8,4387.47,5113.58,Estatal,1T20
3,Baja California Sur,2007,4,0.6789,11.2,5615.91,6549.99,Estatal,1T20
4,Campeche,2007,4,0.9364,39.1,2920.06,3404.3,Estatal,1T20
5,Coahuila,2007,4,1.0987,27.9,3402.41,3964.9,Estatal,1T20
6,Colima,2007,4,0.8183,21.5,3609.23,4206.85,Estatal,1T20
7,Chiapas,2007,4,0.9659,65.6,1446.97,1690.77,Estatal,1T20
8,Chihuahua,2007,4,0.9525,23.3,3592.44,4188.17,Estatal,1T20
9,Ciudad de México,2007,4,0.7892,22.9,4182.12,4870.63,Estatal,1T20
10,Durango,2007,4,1.0456,36.1,2530.24,2952.84,Estatal,1T20
11,Guanajuato,2007,4,1.1166,37.1,2322.09,2710.63,Estatal,1T20
12,Guerrero,2007,4,1.0289,58,1633.33,1906.79,Estatal,1T20
13,Hidalgo,2007,4,0.9968,46.6,2142.94,2506.01,Estatal,1T20
14,Jalisco,2007,4,1.1566,27.7,3205.59,3737.04,Estatal,1T20
15,Estado de México,2007,4,0.9264,32.2,2543.25,2965.4,Estatal,1T20
16,Michoacán,2007,4,1.3156,42.1,2266.84,2645.64,Estatal,1T20
17,Morelos,2007,4,0.8616,40.1,2429.78,2833.95,Estatal,1T20
18,Nayarit,2007,4,0.9843,31.3,2830.51,3305.3,Estatal,1T20
19,Nuevo León,2007,4,0.7975,16.1,4427.53,5158.03,Estatal,1T20
20,Oaxaca,2007,4,1.0232,60.1,1500.58,1753.95,Estatal,1T20
21,Puebla,2007,4,1.1304,48.5,1974.22,2303.06,Estatal,1T20
22,Querétaro,2007,4,0.8892,30.9,2757.19,3218.17,Estatal,1T20
23,Quintana Roo,2007,4,0.7119,19.8,4450.97,5187.51,Estatal,1T20
24,San Luis Potosí,2007,4,1.0743,47.2,2292.05,2674.82,Estatal,1T20
25,Sinaloa,2007,4,0.9396,24.2,3388.39,3954.13,Estatal,1T20
26,Sonora,2007,4,0.8768,23.7,3431.94,4001.65,Estatal,1T20
27,Tabasco,2007,4,0.8701,36.1,2723.09,3182.71,Estatal,1T20
28,Tamaulipas,2007,4,0.8767,29,3575.93,4168.24,Estatal,1T20
29,Tlaxcala,2007,4,1.0047,46.9,1998.68,2332.35,Estatal,1T20
30,Veracruz,2007,4,0.9726,48.2,2168,2532.2,Estatal,1T20
31,Yucatán,2007,4,1.1737,40.7,2599.05,3029.6,Estatal,1T20
32,Zacatecas,2007,4,1.0031,48,2035.86,2378.36,Estatal,1T20
1,Aguascalientes,2008,1,1.021,31.3,2877.66,3371.76,Estatal,1T20
2,Baja California,2008,1,0.7057,14.7,4344.97,5083.9,Estatal,1T20
3,Baja California Sur,2008,1,0.8055,13.3,5479.42,6414.65,Estatal,1T20
4,Campeche,2008,1,0.8941,37.3,3019.12,3534.52,Estatal,1T20
5,Coahuila,2008,1,1.1107,28.2,3295.17,3855.29,Estatal,1T20
6,Colima,2008,1,0.7857,20.6,3713.31,4345.71,Estatal,1T20
7,Chiapas,2008,1,0.9699,65.9,1418.98,1665.36,Estatal,1T20
8,Chihuahua,2008,1,0.944,23.1,3731.36,4367.41,Estatal,1T20
9,Ciudad de México,2008,1,0.7538,21.9,4129.02,4827.36,Estatal,1T20
10,Durango,2008,1,1.1631,40.2,2350.5,2755.79,Estatal,1T20
11,Guanajuato,2008,1,1.1709,39,2273.06,2664.5,Estatal,1T20
12,Guerrero,2008,1,1.0025,56.5,1767.59,2073.34,Estatal,1T20
13,Hidalgo,2008,1,1.0243,47.8,1946.96,2287.34,Estatal,1T20
14,Jalisco,2008,1,1.105,26.4,3237.49,3789.2,Estatal,1T20
15,Estado de México,2008,1,0.9784,34,2568.04,3005.87,Estatal,1T20
16,Michoacán,2008,1,1.3266,42.4,2196.55,2574.71,Estatal,1T20
17,Morelos,2008,1,0.8341,38.8,2352.28,2754.29,Estatal,1T20
18,Nayarit,2008,1,0.9911,31.5,3004.66,3522.45,Estatal,1T20
19,Nuevo León,2008,1,0.8693,17.6,4253.31,4974.52,Estatal,1T20
20,Oaxaca,2008,1,0.9852,57.9,1616.57,1898.57,Estatal,1T20
21,Puebla,2008,1,1.1886,51,1965.91,2303.45,Estatal,1T20
22,Querétaro,2008,1,0.942,32.8,2703.07,3168.43,Estatal,1T20
23,Quintana Roo,2008,1,0.6796,18.9,4686.91,5484.68,Estatal,1T20
24,San Luis Potosí,2008,1,1.0347,45.5,2286.73,2680.08,Estatal,1T20
25,Sinaloa,2008,1,0.9049,23.3,3333.63,3907.65,Estatal,1T20
26,Sonora,2008,1,0.9262,25.1,3600.29,4214.69,Estatal,1T20
27,Tabasco,2008,1,0.8869,36.8,2808.78,3296.99,Estatal,1T20
28,Tamaulipas,2008,1,0.7681,25.4,3500.17,4096.25,Estatal,1T20
29,Tlaxcala,2008,1,1.0585,49.4,1954.78,2290.84,Estatal,1T20
30,Veracruz,2008,1,0.9335,46.3,2189.89,2569.68,Estatal,1T20
31,Yucatán,2008,1,1.1558,40.1,2570.89,3008.8,Estatal,1T20
32,Zacatecas,2008,1,1.1115,53.2,1858.83,2180.06,Estatal,1T20
1,Aguascalientes,2008,2,1.0804,33.1,2696.87,3120.99,Estatal,1T20
2,Baja California,2008,2,0.6747,14,4300.55,4972.44,Estatal,1T20
3,Baja California Sur,2008,2,0.7455,12.3,5508.89,6372.3,Estatal,1T20
4,Campeche,2008,2,0.8781,36.6,3011.99,3483.83,Estatal,1T20
5,Coahuila,2008,2,1.0438,26.5,3202.44,3702.46,Estatal,1T20
6,Colima,2008,2,0.7729,20.3,3694.12,4272.05,Estatal,1T20
7,Chiapas,2008,2,0.9656,65.6,1441.59,1670.15,Estatal,1T20
8,Chihuahua,2008,2,0.979,24,3592.99,4155.36,Estatal,1T20
9,Ciudad de México,2008,2,0.8064,23.4,3933.41,4544.98,Estatal,1T20
10,Durango,2008,2,1.1284,39,2426.86,2810.06,Estatal,1T20
11,Guanajuato,2008,2,1.1796,39.2,2210.91,2560.1,Estatal,1T20
12,Guerrero,2008,2,0.9821,55.3,1751.36,2028.02,Estatal,1T20
13,Hidalgo,2008,2,0.9922,46.3,2055.35,2383.39,Estatal,1T20
14,Jalisco,2008,2,1.0578,25.3,3294.91,3810.32,Estatal,1T20
15,Estado de México,2008,2,0.9711,33.8,2664.41,3081.66,Estatal,1T20
16,Michoacán,2008,2,1.2332,39.4,2423.98,2806.18,Estatal,1T20
17,Morelos,2008,2,0.8557,39.8,2244.93,2597.76,Estatal,1T20
18,Nayarit,2008,2,0.9619,30.6,2863.78,3316.44,Estatal,1T20
19,Nuevo León,2008,2,0.8686,17.5,4188.6,4841.19,Estatal,1T20
20,Oaxaca,2008,2,0.9541,56,1641.03,1902.87,Estatal,1T20
21,Puebla,2008,2,1.1231,48.2,1941.79,2247.2,Estatal,1T20
22,Querétaro,2008,2,0.8986,31.3,2785.12,3224.42,Estatal,1T20
23,Quintana Roo,2008,2,0.6218,17.3,4655.58,5382.84,Estatal,1T20
24,San Luis Potosí,2008,2,1.0617,46.7,2345.83,2715.31,Estatal,1T20
25,Sinaloa,2008,2,0.9042,23.3,3319.8,3843.39,Estatal,1T20
26,Sonora,2008,2,0.8096,21.9,3629.09,4197.55,Estatal,1T20
27,Tabasco,2008,2,0.8609,35.7,2777.04,3218.31,Estatal,1T20
28,Tamaulipas,2008,2,0.8189,27.1,3559.16,4115.61,Estatal,1T20
29,Tlaxcala,2008,2,1.0163,47.4,1992.77,2306.6,Estatal,1T20
30,Veracruz,2008,2,0.9511,47.2,2143.01,2482.65,Estatal,1T20
31,Yucatán,2008,2,1.1148,38.6,2560.98,2961.48,Estatal,1T20
32,Zacatecas,2008,2,1.0436,49.9,1974.93,2287.77,Estatal,1T20
1,Aguascalientes,2008,3,1.1101,34,2700.31,3093.18,Estatal,1T20
2,Baja California,2008,3,0.7802,16.2,4154.59,4755.32,Estatal,1T20
3,Baja California Sur,2008,3,0.7639,12.6,4996.63,5720.9,Estatal,1T20
4,Campeche,2008,3,0.89,37.1,2898.69,3318.54,Estatal,1T20
5,Coahuila,2008,3,1.1463,29.1,3191.86,3652.72,Estatal,1T20
6,Colima,2008,3,0.7167,18.8,3754.73,4297.46,Estatal,1T20
7,Chiapas,2008,3,0.9707,66,1424.17,1632.72,Estatal,1T20
8,Chihuahua,2008,3,1.028,25.2,3437.28,3934.64,Estatal,1T20
9,Ciudad de México,2008,3,0.836,24.3,3921.32,4485.29,Estatal,1T20
10,Durango,2008,3,1.1158,38.6,2349.31,2692.28,Estatal,1T20
11,Guanajuato,2008,3,1.2524,41.7,2163.45,2478.98,Estatal,1T20
12,Guerrero,2008,3,1.0042,56.6,1683.14,1929.01,Estatal,1T20
13,Hidalgo,2008,3,1.0517,49.1,2073.79,2379.49,Estatal,1T20
14,Jalisco,2008,3,1.234,29.5,3042.85,3483.17,Estatal,1T20
15,Estado de México,2008,3,0.9891,34.4,2587.07,2961.57,Estatal,1T20
16,Michoacán,2008,3,1.3172,42.1,2255.79,2584.53,Estatal,1T20
17,Morelos,2008,3,0.8772,40.8,2217.47,2539.81,Estatal,1T20
18,Nayarit,2008,3,1.078,34.3,2849.58,3266.21,Estatal,1T20
19,Nuevo León,2008,3,0.909,18.4,4194.72,4799.07,Estatal,1T20
20,Oaxaca,2008,3,1.0269,60.3,1489.92,1709.13,Estatal,1T20
21,Puebla,2008,3,1.1632,49.9,1959.26,2244.14,Estatal,1T20
22,Querétaro,2008,3,0.919,32,2628.21,3011.54,Estatal,1T20
23,Quintana Roo,2008,3,0.6787,18.9,4533.53,5188.45,Estatal,1T20
24,San Luis Potosí,2008,3,1.0669,46.9,2295.71,2629.76,Estatal,1T20
25,Sinaloa,2008,3,1.0362,26.7,3352.7,3840.45,Estatal,1T20
26,Sonora,2008,3,0.9164,24.8,3466.29,3967.87,Estatal,1T20
27,Tabasco,2008,3,0.9001,37.3,2786.97,3196.64,Estatal,1T20
28,Tamaulipas,2008,3,0.8651,28.6,3492.74,3997.25,Estatal,1T20
29,Tlaxcala,2008,3,1.0747,50.1,2001.23,2292.7,Estatal,1T20
30,Veracruz,2008,3,0.9487,47.1,2162.63,2479.66,Estatal,1T20
31,Yucatán,2008,3,1.1513,39.9,2530.28,2896.42,Estatal,1T20
32,Zacatecas,2008,3,1.0406,49.8,1871.12,2144.73,Estatal,1T20
1,Aguascalientes,2008,4,1.1494,35.2,2600.5,2949.82,Estatal,1T20
2,Baja California,2008,4,0.9353,19.4,3714.65,4211.78,Estatal,1T20
3,Baja California Sur,2008,4,0.9164,15.1,4842.54,5491.88,Estatal,1T20
4,Campeche,2008,4,0.9583,40,2743.71,3111.36,Estatal,1T20
5,Coahuila,2008,4,1.1809,30,3007.95,3410.19,Estatal,1T20
6,Colima,2008,4,0.7789,20.5,3552.32,4027.9,Estatal,1T20
7,Chiapas,2008,4,1.0012,68,1387.57,1574.77,Estatal,1T20
8,Chihuahua,2008,4,1.2169,29.8,3051.96,3460.57,Estatal,1T20
9,Ciudad de México,2008,4,0.8834,25.7,3864.53,4380.09,Estatal,1T20
10,Durango,2008,4,1.2053,41.7,2217.13,2515.43,Estatal,1T20
11,Guanajuato,2008,4,1.3176,43.8,2050.23,2326.02,Estatal,1T20
12,Guerrero,2008,4,1.0695,60.3,1510.74,1713.88,Estatal,1T20
13,Hidalgo,2008,4,1.0475,48.9,1904.01,2161.96,Estatal,1T20
14,Jalisco,2008,4,1.2703,30.4,2936.44,3329.64,Estatal,1T20
15,Estado de México,2008,4,1.009,35.1,2418.3,2742.22,Estatal,1T20
16,Michoacán,2008,4,1.2973,41.5,2307.45,2617.73,Estatal,1T20
17,Morelos,2008,4,0.9506,44.2,2120.36,2405.25,Estatal,1T20
18,Nayarit,2008,4,1.0147,32.2,2791.55,3167.59,Estatal,1T20
19,Nuevo León,2008,4,1.0057,20.3,3910.67,4433.11,Estatal,1T20
20,Oaxaca,2008,4,1.0459,61.4,1441.23,1636.16,Estatal,1T20
21,Puebla,2008,4,1.2444,53.4,1969.1,2234.09,Estatal,1T20
22,Querétaro,2008,4,0.9803,34.1,2609.31,2960.44,Estatal,1T20
23,Quintana Roo,2008,4,0.8096,22.5,3970.77,4501.72,Estatal,1T20
24,San Luis Potosí,2008,4,1.1533,50.7,2227.98,2527.32,Estatal,1T20
25,Sinaloa,2008,4,0.9961,25.7,3248.97,3685.69,Estatal,1T20
26,Sonora,2008,4,0.9867,26.7,3144.89,3566.25,Estatal,1T20
27,Tabasco,2008,4,0.9409,39,2607.52,2960.22,Estatal,1T20
28,Tamaulipas,2008,4,0.9476,31.3,3302.84,3744.68,Estatal,1T20
29,Tlaxcala,2008,4,1.1059,51.6,1799.63,2041.63,Estatal,1T20
30,Veracruz,2008,4,0.9735,48.3,2111.65,2396.6,Estatal,1T20
31,Yucatán,2008,4,1.1923,41.3,2436.67,2762.92,Estatal,1T20
32,Zacatecas,2008,4,1.0532,50.4,1825.88,2072.16,Estatal,1T20
1,Aguascalientes,2009,1,1.3205,40.4,2414.15,2737.14,Estatal,1T20
2,Baja California,2009,1,0.9341,19.4,3767.17,4268.66,Estatal,1T20
3,Baja California Sur,2009,1,0.9425,15.5,4726.34,5357.06,Estatal,1T20
4,Campeche,2009,1,0.9119,38.1,2820.71,3197,Estatal,1T20
5,Coahuila,2009,1,1.2652,32.1,2876.97,3259.51,Estatal,1T20
6,Colima,2009,1,0.7811,20.5,3531.37,4001.7,Estatal,1T20
7,Chiapas,2009,1,0.9526,64.7,1440.65,1634.57,Estatal,1T20
8,Chihuahua,2009,1,1.3567,33.3,3151.38,3571.64,Estatal,1T20
9,Ciudad de México,2009,1,0.9291,27,3748.24,4245.15,Estatal,1T20
10,Durango,2009,1,1.1981,41.4,2186.73,2480.08,Estatal,1T20
11,Guanajuato,2009,1,1.2949,43.1,2096.13,2377.36,Estatal,1T20
12,Guerrero,2009,1,1.0161,57.3,1615.1,1831.72,Estatal,1T20
13,Hidalgo,2009,1,1.054,49.2,1972.71,2239.72,Estatal,1T20
14,Jalisco,2009,1,1.2857,30.7,2832.44,3209.98,Estatal,1T20
15,Estado de México,2009,1,1.001,34.8,2576.64,2919.97,Estatal,1T20
16,Michoacán,2009,1,1.1859,37.9,2320.78,2632.36,Estatal,1T20
17,Morelos,2009,1,0.9749,45.4,2081.31,2359.63,Estatal,1T20
18,Nayarit,2009,1,0.9599,30.5,2882.12,3269.23,Estatal,1T20
19,Nuevo León,2009,1,1.1006,22.2,3734.04,4230.09,Estatal,1T20
20,Oaxaca,2009,1,1.0051,59,1504.26,1707.23,Estatal,1T20
21,Puebla,2009,1,1.1814,50.7,1880.26,2132.07,Estatal,1T20
22,Querétaro,2009,1,1.0623,37,2540.58,2880.82,Estatal,1T20
23,Quintana Roo,2009,1,0.7062,19.6,4207.61,4767.78,Estatal,1T20
24,San Luis Potosí,2009,1,1.1216,49.3,2189.25,2482.21,Estatal,1T20
25,Sinaloa,2009,1,1.0138,26.1,3182.89,3609.33,Estatal,1T20
26,Sonora,2009,1,1.0375,28.1,3254.37,3688.25,Estatal,1T20
27,Tabasco,2009,1,0.8999,37.3,2614.81,2967.68,Estatal,1T20
28,Tamaulipas,2009,1,0.9377,31,3381.11,3830.88,Estatal,1T20
29,Tlaxcala,2009,1,1.1422,53.3,1760.24,1995.72,Estatal,1T20
30,Veracruz,2009,1,0.9439,46.8,2146.49,2435.24,Estatal,1T20
31,Yucatán,2009,1,1.1871,41.2,2495.01,2827.47,Estatal,1T20
32,Zacatecas,2009,1,1.113,53.3,1746.94,1981.54,Estatal,1T20
1,Aguascalientes,2009,2,1.3043,39.9,2443.16,2720.44,Estatal,1T20
2,Baja California,2009,2,0.9933,20.6,3753.11,4178.99,Estatal,1T20
3,Baja California Sur,2009,2,0.9385,15.4,4491.68,5001.43,Estatal,1T20
4,Campeche,2009,2,0.9909,41.3,2711.36,3019.05,Estatal,1T20
5,Coahuila,2009,2,1.3221,33.6,2935.56,3268.66,Estatal,1T20
6,Colima,2009,2,0.923,24.3,3339.1,3718.01,Estatal,1T20
7,Chiapas,2009,2,0.9711,66,1402.23,1561.41,Estatal,1T20
8,Chihuahua,2009,2,1.4254,34.9,3130.96,3486.26,Estatal,1T20
9,Ciudad de México,2009,2,0.9668,28.1,3886.19,4327.1,Estatal,1T20
10,Durango,2009,2,1.2344,42.7,2154.64,2399.22,Estatal,1T20
11,Guanajuato,2009,2,1.3518,45,1998.18,2224.99,Estatal,1T20
12,Guerrero,2009,2,1.0591,59.7,1565.95,1743.69,Estatal,1T20
13,Hidalgo,2009,2,1.1049,51.6,1968.02,2191.48,Estatal,1T20
14,Jalisco,2009,2,1.3047,31.2,2838.27,3160.35,Estatal,1T20
15,Estado de México,2009,2,1.0389,36.1,2631.51,2930.12,Estatal,1T20
16,Michoacán,2009,2,1.309,41.9,2266.67,2523.95,Estatal,1T20
17,Morelos,2009,2,0.9238,43,2208.7,2459.38,Estatal,1T20
18,Nayarit,2009,2,0.9823,31.2,2864.06,3189.15,Estatal,1T20
19,Nuevo León,2009,2,1.1891,24,3738.92,4163.16,Estatal,1T20
20,Oaxaca,2009,2,1.0676,62.7,1458.17,1623.72,Estatal,1T20
21,Puebla,2009,2,1.2893,55.3,1808.1,2013.31,Estatal,1T20
22,Querétaro,2009,2,1.1568,40.3,2389.86,2661.11,Estatal,1T20
23,Quintana Roo,2009,2,0.8696,24.2,3977.27,4428.58,Estatal,1T20
24,San Luis Potosí,2009,2,1.1171,49.1,2198.17,2447.67,Estatal,1T20
25,Sinaloa,2009,2,1.0657,27.5,3190.38,3552.5,Estatal,1T20
26,Sonora,2009,2,0.9585,25.9,3240.3,3608.01,Estatal,1T20
27,Tabasco,2009,2,0.9052,37.5,2559.57,2850.18,Estatal,1T20
28,Tamaulipas,2009,2,0.9835,32.5,3183.37,3544.59,Estatal,1T20
29,Tlaxcala,2009,2,1.1508,53.7,1812.59,2018.33,Estatal,1T20
30,Veracruz,2009,2,0.9584,47.5,2230.82,2484.06,Estatal,1T20
31,Yucatán,2009,2,1.1994,41.6,2437.81,2714.45,Estatal,1T20
32,Zacatecas,2009,2,1.1239,53.8,1722.84,1918.42,Estatal,1T20
1,Aguascalientes,2009,3,1.3351,40.9,2405.78,2658.34,Estatal,1T20
2,Baja California,2009,3,1.1359,23.6,3410.03,3768.08,Estatal,1T20
3,Baja California Sur,2009,3,1.2326,20.3,4384.72,4845.06,Estatal,1T20
4,Campeche,2009,3,0.9747,40.7,2732.92,3019.84,Estatal,1T20
5,Coahuila,2009,3,1.4294,36.3,2793.58,3086.91,Estatal,1T20
6,Colima,2009,3,0.9395,24.7,3474.6,3839.42,Estatal,1T20
7,Chiapas,2009,3,0.9811,66.7,1504.18,1662.07,Estatal,1T20
8,Chihuahua,2009,3,1.3476,33,3020.74,3337.9,Estatal,1T20
9,Ciudad de México,2009,3,0.9542,27.7,3713.06,4102.97,Estatal,1T20
10,Durango,2009,3,1.2992,44.9,2122.76,2345.59,Estatal,1T20
11,Guanajuato,2009,3,1.3565,45.1,2088.26,2307.47,Estatal,1T20
12,Guerrero,2009,3,1.0853,61.2,1528.24,1688.67,Estatal,1T20
13,Hidalgo,2009,3,1.0638,49.7,1973.93,2181.1,Estatal,1T20
14,Jalisco,2009,3,1.2854,30.7,2741.02,3028.8,Estatal,1T20
15,Estado de México,2009,3,0.9982,34.7,2579.31,2850.12,Estatal,1T20
16,Michoacán,2009,3,1.3415,42.9,2259.24,2496.41,Estatal,1T20
17,Morelos,2009,3,0.9236,43,2209.29,2441.22,Estatal,1T20
18,Nayarit,2009,3,1.0856,34.5,2754.35,3043.48,Estatal,1T20
19,Nuevo León,2009,3,1.2356,25,3529.25,3899.83,Estatal,1T20
20,Oaxaca,2009,3,1.0505,61.7,1456.85,1609.75,Estatal,1T20
21,Puebla,2009,3,1.2614,54.1,1844.41,2038.03,Estatal,1T20
22,Querétaro,2009,3,1.168,40.6,2340.49,2586.18,Estatal,1T20
23,Quintana Roo,2009,3,0.9075,25.2,3712.7,4102.53,Estatal,1T20
24,San Luis Potosí,2009,3,1.1252,49.4,2089.66,2309.03,Estatal,1T20
25,Sinaloa,2009,3,1.172,30.2,3078.32,3401.48,Estatal,1T20
26,Sonora,2009,3,1.1763,31.8,3091.62,3416.22,Estatal,1T20
27,Tabasco,2009,3,1.0275,42.6,2454.55,2712.17,Estatal,1T20
28,Tamaulipas,2009,3,1.0407,34.4,3097.85,3423.12,Estatal,1T20
29,Tlaxcala,2009,3,1.1857,55.3,1707.51,1886.76,Estatal,1T20
30,Veracruz,2009,3,0.9766,48.4,2141.55,2366.34,Estatal,1T20
31,Yucatán,2009,3,1.1783,40.9,2536.78,2803.12,Estatal,1T20
32,Zacatecas,2009,3,1.1211,53.7,1755.76,1940.06,Estatal,1T20
1,Aguascalientes,2009,4,1.2844,39.3,2405.34,2684.02,Estatal,1T20
2,Baja California,2009,4,1.1146,23.1,3424.05,3820.53,Estatal,1T20
3,Baja California Sur,2009,4,1.4862,24.5,3989.38,4451.53,Estatal,1T20
4,Campeche,2009,4,0.9214,38.4,2806.93,3132.02,Estatal,1T20
5,Coahuila,2009,4,1.335,33.9,2802.61,3127.1,Estatal,1T20
6,Colima,2009,4,0.9404,24.7,3279.51,3659.28,Estatal,1T20
7,Chiapas,2009,4,0.9769,66.4,1399.41,1561.66,Estatal,1T20
8,Chihuahua,2009,4,1.3189,32.3,2788.3,3111.23,Estatal,1T20
9,Ciudad de México,2009,4,1.0375,30.2,3439.46,3837.53,Estatal,1T20
10,Durango,2009,4,1.3147,45.4,1993.11,2224.13,Estatal,1T20
11,Guanajuato,2009,4,1.3365,44.5,2063.25,2302.37,Estatal,1T20
12,Guerrero,2009,4,1.0649,60,1545.48,1724.58,Estatal,1T20
13,Hidalgo,2009,4,1.0745,50.2,1964.08,2191.97,Estatal,1T20
14,Jalisco,2009,4,1.3923,33.3,2788.15,3111.02,Estatal,1T20
15,Estado de México,2009,4,1.0175,35.4,2489.19,2777.47,Estatal,1T20
16,Michoacán,2009,4,1.2056,38.5,2270.44,2533.61,Estatal,1T20
17,Morelos,2009,4,0.9442,43.9,2103.76,2347.52,Estatal,1T20
18,Nayarit,2009,4,1.07,34,2733.54,3050.4,Estatal,1T20
19,Nuevo León,2009,4,1.1206,22.6,3671.91,4096.98,Estatal,1T20
20,Oaxaca,2009,4,1.0742,63.1,1435.09,1601.53,Estatal,1T20
21,Puebla,2009,4,1.2346,52.9,1824.12,2035.5,Estatal,1T20
22,Querétaro,2009,4,1.1155,38.8,2430.18,2711.79,Estatal,1T20
23,Quintana Roo,2009,4,0.9874,27.4,3590.93,4006.69,Estatal,1T20
24,San Luis Potosí,2009,4,1.141,50.1,1998.92,2230.61,Estatal,1T20
25,Sinaloa,2009,4,0.9674,24.9,3102.8,3462.42,Estatal,1T20
26,Sonora,2009,4,0.999,27,2954.92,3297.18,Estatal,1T20
27,Tabasco,2009,4,0.9668,40.1,2602.98,2904.95,Estatal,1T20
28,Tamaulipas,2009,4,0.9845,32.5,2974.62,3319.06,Estatal,1T20
29,Tlaxcala,2009,4,1.1962,55.8,1715.28,1914.07,Estatal,1T20
30,Veracruz,2009,4,0.9495,47.1,2129.09,2376.01,Estatal,1T20
31,Yucatán,2009,4,1.1707,40.6,2493,2781.72,Estatal,1T20
32,Zacatecas,2009,4,1.0797,51.7,1790.71,1998.35,Estatal,1T20
1,Aguascalientes,2010,1,1.33,40.7,2452.17,2720.12,Estatal,1T20
2,Baja California,2010,1,1.0726,22.3,3550.6,3938.57,Estatal,1T20
3,Baja California Sur,2010,1,1.1945,19.7,4106.28,4554.98,Estatal,1T20
4,Campeche,2010,1,1.0003,41.7,2725.45,3023.26,Estatal,1T20
5,Coahuila,2010,1,1.4768,37.5,2761.41,3063.15,Estatal,1T20
6,Colima,2010,1,0.9552,25.1,3375.08,3743.87,Estatal,1T20
7,Chiapas,2010,1,0.9906,67.3,1417.6,1572.51,Estatal,1T20
8,Chihuahua,2010,1,1.5188,37.2,2822.5,3130.91,Estatal,1T20
9,Ciudad de México,2010,1,0.9639,28,3529.2,3914.81,Estatal,1T20
10,Durango,2010,1,1.3084,45.2,2023.01,2244.08,Estatal,1T20
11,Guanajuato,2010,1,1.4147,47.1,1990.32,2207.81,Estatal,1T20
12,Guerrero,2010,1,1.083,61,1589.89,1763.64,Estatal,1T20
13,Hidalgo,2010,1,1.1057,51.6,1850.58,2052.83,Estatal,1T20
14,Jalisco,2010,1,1.3576,32.5,2674.41,2966.64,Estatal,1T20
15,Estado de México,2010,1,1.0328,35.9,2468.69,2738.44,Estatal,1T20
16,Michoacán,2010,1,1.3606,43.5,2231.27,2475.1,Estatal,1T20
17,Morelos,2010,1,0.8998,41.9,2087.2,2315.27,Estatal,1T20
18,Nayarit,2010,1,1.1208,35.6,2662.59,2953.55,Estatal,1T20
19,Nuevo León,2010,1,1.1458,23.1,3715.34,4121.3,Estatal,1T20
20,Oaxaca,2010,1,1.0511,61.7,1466.64,1626.92,Estatal,1T20
21,Puebla,2010,1,1.2305,52.8,1806.35,2003.74,Estatal,1T20
22,Querétaro,2010,1,1.08,37.6,2416.81,2680.91,Estatal,1T20
23,Quintana Roo,2010,1,0.9612,26.7,3776.47,4189.12,Estatal,1T20
24,San Luis Potosí,2010,1,1.1491,50.5,2023.8,2244.96,Estatal,1T20
25,Sinaloa,2010,1,0.9944,25.6,3142.82,3486.25,Estatal,1T20
26,Sonora,2010,1,1.1763,31.8,3290.26,3649.79,Estatal,1T20
27,Tabasco,2010,1,0.9772,40.5,2534.82,2811.85,Estatal,1T20
28,Tamaulipas,2010,1,1.08,35.7,2956.65,3279.72,Estatal,1T20
29,Tlaxcala,2010,1,1.1851,55.3,1696.4,1881.77,Estatal,1T20
30,Veracruz,2010,1,0.9895,49.1,2197.98,2438.18,Estatal,1T20
31,Yucatán,2010,1,1.2152,42.1,2455.13,2723.4,Estatal,1T20
