clave_ent,nivel_ent,año,trimestre,itlp_is,TLP,ingreso_INPC,ingreso_canasta_ali,desagregacion,año_base_itlp
3,Baja California Sur,2005,3,1.0555,17.4,4265.42,5057.09,Estatal,1T20
4,Campeche,2005,3,1.0257,42.8,2729.78,3234.63,Estatal,1T20
5,Coahuila,2005,3,1.092,27.7,3190.59,3778.37,Estatal,1T20
6,Colima,2005,3,0.8604,22.6,3466.83,4106.36,Estatal,1T20
7,Chiapas,2005,3,1.0007,68,1310.12,1558.97,Estatal,1T20
8,Chihuahua,2005,3,1.0523,25.8,3382.91,4009.63,Estatal,1T20
9,Ciudad de México,2005,3,0.824,23.9,3824.51,4523.6,Estatal,1T20
10,Durango,2005,3,1.2322,42.6,2186.29,2595.88,Estatal,1T20
11,Guanajuato,2005,3,1.1714,39,2151.14,2554.79,Estatal,1T20
12,Guerrero,2005,3,1.0565,59.5,1594.37,1892.28,Estatal,1T20
13,Hidalgo,2005,3,0.9715,45.4,1957.69,2333.56,Estatal,1T20
14,Jalisco,2005,3,1.2809,30.6,2916.89,3455.94,Estatal,1T20
15,Estado de México,2005,3,0.9352,32.5,2645.22,3133.92,Estatal,1T20
16,Michoacán,2005,3,1.4333,45.8,2067.53,2454.08,Estatal,1T20
17,Morelos,2005,3,0.9105,42.4,2275.41,2698.98,Estatal,1T20
18,Nayarit,2005,3,1.1863,37.7,2419.23,2875.06,Estatal,1T20
19,Nuevo León,2005,3,0.8187,16.5,4230.9,5006.79,Estatal,1T20
20,Oaxaca,2005,3,1.0261,60.3,1513.47,1801.49,Estatal,1T20
21,Puebla,2005,3,1.1896,51,1925.32,2284.87,Estatal,1T20
22,Querétaro,2005,3,0.9758,34,2819.71,3347.57,Estatal,1T20
23,Quintana Roo,2005,3,0.8421,23.4,4186.81,4957.19,Estatal,1T20
24,San Luis Potosí,2005,3,1.0872,47.8,2265.44,2687.92,Estatal,1T20
25,Sinaloa,2005,3,1.1212,28.9,3123.56,3704.93,Estatal,1T20
26,Sonora,2005,3,0.9369,25.3,3308.71,3921.11,Estatal,1T20
27,Tabasco,2005,3,0.9946,41.2,2424.64,2883.98,Estatal,1T20
28,Tamaulipas,2005,3,0.8983,29.7,3241,3837.85,Estatal,1T20
29,Tlaxcala,2005,3,1.0186,47.5,1931.38,2293.13,Estatal,1T20
30,Veracruz,2005,3,0.9898,49.1,1891.51,2248.84,Estatal,1T20
31,Yucatán,2005,3,1.3225,45.8,2420.73,2867.34,Estatal,1T20
32,Zacatecas,2005,3,1.0336,49.5,1878.76,2232.21,Estatal,1T20
1,Aguascalientes,2005,4,0.9786,30,2686.11,3239.78,Estatal,1T20
2,Baja California,2005,4,0.6433,13.4,4433.81,5335.07,Estatal,1T20
3,Baja California Sur,2005,4,0.96,15.8,4457.01,5370.16,Estatal,1T20
4,Campeche,2005,4,0.9504,39.7,2826.77,3404.34,Estatal,1T20
5,Coahuila,2005,4,1.0417,26.5,3166.59,3810.26,Estatal,1T20
6,Colima,2005,4,0.8961,23.6,3277.43,3944.62,Estatal,1T20
7,Chiapas,2005,4,1.0224,69.5,1272.65,1539.04,Estatal,1T20
8,Chihuahua,2005,4,1.0009,24.5,3714.17,4468.66,Estatal,1T20
9,Ciudad de México,2005,4,0.7136,20.7,4151.73,4987.47,Estatal,1T20
10,Durango,2005,4,1.146,39.6,2246,2711.48,Estatal,1T20
11,Guanajuato,2005,4,1.0921,36.3,2283.67,2757.76,Estatal,1T20
12,Guerrero,2005,4,1.0248,57.7,1563.63,1886.89,Estatal,1T20
13,Hidalgo,2005,4,0.9837,45.9,1977.47,2397.03,Estatal,1T20
14,Jalisco,2005,4,1.248,29.8,2935.16,3533.54,Estatal,1T20
15,Estado de México,2005,4,0.9221,32.1,2602.94,3134.53,Estatal,1T20
16,Michoacán,2005,4,1.2994,41.5,2158.34,2604.46,Estatal,1T20
17,Morelos,2005,4,0.8208,38.2,2443.37,2945.56,Estatal,1T20
18,Nayarit,2005,4,1.1061,35.2,2602.82,3145.63,Estatal,1T20
19,Nuevo León,2005,4,0.8557,17.3,4185.53,5031.18,Estatal,1T20
20,Oaxaca,2005,4,0.991,58.2,1571.02,1902.18,Estatal,1T20
21,Puebla,2005,4,1.142,49,1968.95,2374.18,Estatal,1T20
22,Querétaro,2005,4,0.881,30.7,2877.77,3472.55,Estatal,1T20
23,Quintana Roo,2005,4,0.8043,22.3,4230.26,5087.85,Estatal,1T20
24,San Luis Potosí,2005,4,1.0514,46.2,2381.45,2871.98,Estatal,1T20
25,Sinaloa,2005,4,0.9733,25.1,3370.11,4064.82,Estatal,1T20
26,Sonora,2005,4,0.8803,23.8,3421.35,4121.39,Estatal,1T20
27,Tabasco,2005,4,0.9838,40.8,2491.02,3014.27,Estatal,1T20
28,Tamaulipas,2005,4,0.814,26.9,3788.87,4557.48,Estatal,1T20
29,Tlaxcala,2005,4,0.9618,44.9,1956.98,2363.13,Estatal,1T20
30,Veracruz,2005,4,0.9658,47.9,2047.01,2474.13,Estatal,1T20
31,Yucatán,2005,4,1.2879,44.7,2394.12,2881.44,Estatal,1T20
32,Zacatecas,2005,4,0.974,46.6,1925.24,2327.1,Estatal,1T20
1,Aguascalientes,2006,1,1.0266,31.4,2597.6,3106.84,Estatal,1T20
2,Baja California,2006,1,0.6889,14.3,4462.57,5328.85,Estatal,1T20
3,Baja California Sur,2006,1,0.9557,15.7,4230.45,5058.88,Estatal,1T20
4,Campeche,2006,1,0.9864,41.2,2845.49,3400.63,Estatal,1T20
5,Coahuila,2006,1,1.0475,26.6,3233.34,3860.22,Estatal,1T20
6,Colima,2006,1,0.871,22.9,3446.94,4116.53,Estatal,1T20
7,Chiapas,2006,1,0.9985,67.8,1314.7,1576.44,Estatal,1T20
8,Chihuahua,2006,1,0.8381,20.5,3543.85,4231.74,Estatal,1T20
9,Ciudad de México,2006,1,0.7026,20.4,4063.23,4845.53,Estatal,1T20
10,Durango,2006,1,1.1768,40.7,2245.93,2688.8,Estatal,1T20
11,Guanajuato,2006,1,1.1397,37.9,2215.51,2653.21,Estatal,1T20
12,Guerrero,2006,1,1.0057,56.7,1713.45,2051.08,Estatal,1T20
13,Hidalgo,2006,1,1.017,47.5,1926.12,2313.61,Estatal,1T20
14,Jalisco,2006,1,1.0902,26.1,3111.21,3716.38,Estatal,1T20
15,Estado de México,2006,1,0.8736,30.4,2743.45,3277.41,Estatal,1T20
16,Michoacán,2006,1,1.4204,45.4,1995.7,2388.59,Estatal,1T20
17,Morelos,2006,1,0.8118,37.8,2216.31,2651.04,Estatal,1T20
18,Nayarit,2006,1,1.0835,34.4,2548.14,3053.41,Estatal,1T20
19,Nuevo León,2006,1,0.7636,15.4,4218.61,5033.26,Estatal,1T20
20,Oaxaca,2006,1,1.0502,61.7,1506.63,1806.95,Estatal,1T20
21,Puebla,2006,1,1.1758,50.4,1933.05,2312.52,Estatal,1T20
22,Querétaro,2006,1,0.931,32.4,2846.86,3406.45,Estatal,1T20
23,Quintana Roo,2006,1,0.7404,20.6,4214.27,5031.05,Estatal,1T20
24,San Luis Potosí,2006,1,0.9924,43.6,2418.93,2896.73,Estatal,1T20
25,Sinaloa,2006,1,0.8436,21.8,3341.12,3997.97,Estatal,1T20
26,Sonora,2006,1,0.8083,21.9,3574.69,4272.07,Estatal,1T20
27,Tabasco,2006,1,0.9146,37.9,2584.11,3099.68,Estatal,1T20
28,Tamaulipas,2006,1,0.8409,27.8,3459.86,4130.29,Estatal,1T20
29,Tlaxcala,2006,1,0.9726,45.4,2018.69,2417.41,Estatal,1T20
30,Veracruz,2006,1,0.932,46.2,2056.31,2463.45,Estatal,1T20
31,Yucatán,2006,1,1.2797,44.4,2439.96,2913.98,Estatal,1T20
32,Zacatecas,2006,1,1.0824,51.8,1863.24,2231.71,Estatal,1T20
1,Aguascalientes,2006,2,0.999,30.6,2753.54,3316.79,Estatal,1T20
2,Baja California,2006,2,0.6543,13.6,4618.88,5553.35,Estatal,1T20
3,Baja California Sur,2006,2,0.825,13.6,4777.1,5752.58,Estatal,1T20
4,Campeche,2006,2,0.9307,38.8,2977.6,3583.03,Estatal,1T20
5,Coahuila,2006,2,0.9984,25.4,3253.62,3911.21,Estatal,1T20
6,Colima,2006,2,0.7363,19.4,3592.17,4319.77,Estatal,1T20
7,Chiapas,2006,2,1.0073,68.4,1316.28,1590.71,Estatal,1T20
